Using gpu: True

Test set: Average loss: 23.0351, Accuracy: 0/8 (0%)


Test set: Average loss: 39.0825, Accuracy: 0/8 (0%)


Test set: Average loss: 27.8158, Accuracy: 1/8 (12%)


Test set: Average loss: 45.1824, Accuracy: 0/8 (0%)

Total correct: 7, Total: 800
